rr_ratio,breakeven_trigger_r,max_hold_m5_bars,breakout_buffer_atr,body_pct_min,regime_adx_min,min_h1_ema_spread_atr,h1_slope_lookback,trades,win_rate,profit_factor,sharpe,sortino,max_dd_pct,total_return_pct,avg_win,avg_loss,expectancy,timeout_pct,avg_timeout_r,second_half_pf,trades_csv,verdict,score
1.5,0.8,24,0.02,0.25,24,0.2,3,37,45.95,2.163,0.077,0.064,1.05,3.94,43.13,21.19,10.66,64.86,0.0745,1.459,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf002_body025_adx24_spr02_slp3.csv,APROBADO,252.19
1.5,0.8,24,0.01,0.25,24,0.15,3,38,44.74,2.163,0.079,0.068,1.05,3.94,43.13,21.19,10.38,63.16,0.0745,1.464,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf001_body025_adx24_spr015_slp3.csv,RECHAZADO,252.13
1.5,0.8,24,0.02,0.25,24,0.15,3,38,44.74,2.163,0.079,0.068,1.05,3.94,43.13,21.19,10.38,63.16,0.0745,1.464,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf002_body025_adx24_spr015_slp3.csv,RECHAZADO,252.13
1.5,0.7,24,0.01,0.25,24,0.2,3,37,43.24,2.159,0.077,0.064,1.05,3.93,45.74,21.19,10.62,62.16,0.0766,1.452,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf001_body025_adx24_spr02_slp3.csv,RECHAZADO,251.68
1.5,0.7,24,0.02,0.25,24,0.2,3,37,43.24,2.159,0.077,0.064,1.05,3.93,45.74,21.19,10.62,62.16,0.0766,1.452,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf002_body025_adx24_spr02_slp3.csv,RECHAZADO,251.68
1.5,0.7,24,0.01,0.25,24,0.15,3,38,42.11,2.159,0.078,0.068,1.05,3.93,45.74,21.19,10.34,60.53,0.0766,1.457,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf001_body025_adx24_spr015_slp3.csv,RECHAZADO,251.62
1.5,0.7,24,0.02,0.25,24,0.15,3,38,42.11,2.159,0.078,0.068,1.05,3.93,45.74,21.19,10.34,60.53,0.0766,1.457,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf002_body025_adx24_spr015_slp3.csv,RECHAZADO,251.62
1.5,0.8,24,0.01,0.15,22,0.25,3,40,47.5,2.124,0.062,0.048,1.05,4.09,40.66,21.4,10.22,67.5,0.0766,1.906,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf001_body015_adx22_spr025_slp3.csv,APROBADO,249.36
1.5,0.8,24,0.01,0.2,22,0.25,3,40,47.5,2.124,0.062,0.048,1.05,4.09,40.66,21.4,10.22,67.5,0.0766,1.906,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf001_body02_adx22_spr025_slp3.csv,APROBADO,249.36
1.5,0.8,24,0.02,0.15,22,0.25,3,40,47.5,2.124,0.062,0.048,1.05,4.09,40.66,21.4,10.22,67.5,0.0766,1.906,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf002_body015_adx22_spr025_slp3.csv,APROBADO,249.36
1.5,0.8,24,0.02,0.2,22,0.25,3,40,47.5,2.124,0.062,0.048,1.05,4.09,40.66,21.4,10.22,67.5,0.0766,1.906,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf002_body02_adx22_spr025_slp3.csv,APROBADO,249.36
1.5,0.7,24,0.01,0.15,22,0.25,3,40,45.0,2.12,0.062,0.048,1.05,4.07,42.84,21.39,10.18,65.0,0.0786,1.899,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf001_body015_adx22_spr025_slp3.csv,APROBADO,248.82
1.5,0.7,24,0.01,0.2,22,0.25,3,40,45.0,2.12,0.062,0.048,1.05,4.07,42.84,21.39,10.18,65.0,0.0786,1.899,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf001_body02_adx22_spr025_slp3.csv,APROBADO,248.82
1.5,0.7,24,0.02,0.15,22,0.25,3,40,45.0,2.12,0.062,0.048,1.05,4.07,42.84,21.39,10.18,65.0,0.0786,1.899,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf002_body015_adx22_spr025_slp3.csv,APROBADO,248.82
1.5,0.7,24,0.02,0.2,22,0.25,3,40,45.0,2.12,0.062,0.048,1.05,4.07,42.84,21.39,10.18,65.0,0.0786,1.899,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf002_body02_adx22_spr025_slp3.csv,APROBADO,248.82
