rr_ratio,buffer_pips,min_body_ratio,max_bars_in_trade,total_trades,winning_trades,losing_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown,total_return,avg_win,avg_loss,expectancy,tp_count,sl_count,breakeven_count,timeout_count,score_ftmo
1.2,0.04,0.5,24,14,5,9,0.35714285714285715,0.664,-3.227,-170083942.946,0.0296,-0.0151,59.64,49.9,-10.78,5,3,0,6,-13.474857142857143
1.2,0.03,0.4,30,19,7,12,0.3684210526315789,0.695,-2.834,-150390014.123,0.0345,-0.0181,58.9,49.45,-9.53,7,8,0,4,-13.91263157894737
1.4,0.04,0.4,24,15,5,10,0.3333333333333333,0.697,-2.806,-158745024.545,0.0345,-0.0151,69.58,49.92,-10.09,5,4,0,6,-14.149333333333335
1.3,0.03,0.45,24,15,5,10,0.3333333333333333,0.647,-3.416,-185202484.977,0.0296,-0.0176,64.35,49.75,-11.72,5,4,0,6,-14.589333333333334
1.3,0.03,0.5,24,15,5,10,0.3333333333333333,0.647,-3.416,-185202484.977,0.0296,-0.0176,64.35,49.75,-11.72,5,4,0,6,-14.589333333333334
1.3,0.04,0.4,24,15,5,10,0.3333333333333333,0.647,-3.416,-185202474.785,0.0345,-0.0176,64.54,49.85,-11.72,5,4,0,6,-15.814333333333334
1.2,0.03,0.45,24,15,5,10,0.3333333333333333,0.597,-4.082,-211660027.031,0.0296,-0.02,59.34,49.68,-13.34,5,4,0,6,-16.239333333333335
1.2,0.03,0.5,24,15,5,10,0.3333333333333333,0.597,-4.082,-211660027.031,0.0296,-0.02,59.34,49.68,-13.34,5,4,0,6,-16.239333333333335
1.4,0.02,0.45,24,16,5,11,0.3125,0.633,-3.568,-198431279.538,0.0345,-0.0201,69.23,49.7,-12.54,5,7,0,4,-16.808999999999997
1.4,0.02,0.45,30,16,5,11,0.3125,0.633,-3.568,-198431279.538,0.0345,-0.0201,69.23,49.7,-12.54,5,8,0,3,-16.808999999999997
1.4,0.02,0.5,24,16,5,11,0.3125,0.633,-3.568,-198431279.538,0.0345,-0.0201,69.23,49.7,-12.54,5,7,0,4,-16.808999999999997
1.4,0.02,0.5,30,16,5,11,0.3125,0.633,-3.568,-198431279.538,0.0345,-0.0201,69.23,49.7,-12.54,5,8,0,3,-16.808999999999997
1.2,0.04,0.4,24,15,5,10,0.3333333333333333,0.598,-4.082,-211660014.03,0.0345,-0.02,59.52,49.77,-13.34,5,4,0,6,-17.452333333333335
1.3,0.02,0.45,24,16,5,11,0.3125,0.588,-4.188,-223235150.039,0.0345,-0.0225,64.22,49.63,-14.05,5,7,0,4,-18.344
1.3,0.02,0.5,24,16,5,11,0.3125,0.588,-4.188,-223235150.039,0.0345,-0.0225,64.22,49.63,-14.05,5,7,0,4,-18.344
1.4,0.03,0.4,30,19,6,13,0.3157894736842105,0.641,-3.445,-192165026.426,0.0441,-0.023,68.67,49.42,-12.13,6,8,0,5,-19.171684210526315
1.4,0.02,0.4,36,20,6,14,0.3,0.596,-4.041,-222243042.949,0.0374,-0.0279,68.72,49.4,-13.96,6,12,0,2,-19.568000000000005
1.2,0.02,0.45,24,16,5,11,0.3125,0.543,-4.865,-248039105.985,0.0345,-0.0249,59.22,49.57,-15.57,5,7,0,4,-19.884
1.2,0.02,0.5,24,16,5,11,0.3125,0.543,-4.865,-248039105.985,0.0345,-0.0249,59.22,49.57,-15.57,5,7,0,4,-19.884
1.3,0.02,0.4,30,20,6,14,0.3,0.554,-4.669,-246054741.358,0.0379,-0.0308,63.74,49.33,-15.41,6,12,0,2,-21.212000000000003
1.3,0.02,0.4,36,20,6,14,0.3,0.554,-4.669,-246054741.358,0.0379,-0.0308,63.74,49.33,-15.41,6,12,0,2,-21.212000000000003
1.2,0.02,0.4,30,20,6,14,0.3,0.511,-5.354,-269866511.836,0.0384,-0.0337,58.76,49.26,-16.85,6,12,0,2,-22.863
1.2,0.02,0.4,36,20,6,14,0.3,0.511,-5.354,-269866511.836,0.0384,-0.0337,58.76,49.26,-16.85,6,12,0,2,-22.863
1.4,0.03,0.4,24,19,5,14,0.2631578947368421,0.498,-5.534,-292425016.323,0.0441,-0.0347,68.68,49.3,-18.25,5,8,0,6,-25.538736842105266
1.3,0.03,0.4,24,19,5,14,0.2631578947368421,0.462,-6.187,-313312503.149,0.0441,-0.0371,63.71,49.24,-19.51,5,8,0,6,-26.840736842105265
1.2,0.03,0.4,24,19,5,14,0.2631578947368421,0.427,-6.9,-334200029.029,0.0441,-0.0395,58.75,49.17,-20.77,5,8,0,6,-28.130736842105264
1.4,0.02,0.4,24,20,5,15,0.25,0.465,-6.11,-317490028.933,0.0489,-0.0395,68.55,49.19,-19.75,5,11,0,4,-28.47
1.4,0.02,0.4,30,20,5,15,0.25,0.465,-6.11,-317490028.933,0.0489,-0.0395,68.55,49.19,-19.75,5,12,0,3,-28.47
1.3,0.02,0.4,24,20,5,15,0.25,0.431,-6.774,-337333115.919,0.0489,-0.0419,63.59,49.12,-20.95,5,11,0,4,-29.718
1.2,0.02,0.4,24,20,5,15,0.25,0.398,-7.499,-357176270.115,0.0489,-0.0443,58.64,49.06,-22.13,5,11,0,4,-30.944
