rr_ratio,breakeven_trigger_r,max_hold_m5_bars,breakout_buffer_atr,body_pct_min,regime_adx_min,min_h1_ema_spread_atr,h1_slope_lookback,trades,win_rate,profit_factor,sharpe,sortino,max_dd_pct,total_return_pct,avg_win,avg_loss,expectancy,timeout_pct,avg_timeout_r,second_half_pf,trades_csv,verdict,score
1.5,1.0,24,0.02,0.25,24,0.2,3,37,48.65,1.937,0.071,0.06,1.08,3.65,41.96,22.93,9.88,67.57,0.0894,1.247,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,226.71
1.5,1.0,24,0.02,0.3,24,0.2,3,37,48.65,1.937,0.071,0.06,1.08,3.65,41.96,22.93,9.88,67.57,0.0894,1.247,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,226.71
1.25,1.2,24,0.02,0.2,24,0.15,3,38,52.63,1.931,0.072,0.062,1.05,3.64,37.72,21.71,9.57,71.05,0.0905,1.291,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,226.41
1.5,1.0,24,0.02,0.25,24,0.15,3,38,47.37,1.933,0.073,0.063,1.09,3.65,41.96,21.71,9.59,68.42,0.0853,1.246,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,226.08
1.5,1.0,24,0.02,0.3,24,0.15,3,38,47.37,1.933,0.073,0.063,1.09,3.65,41.96,21.71,9.59,68.42,0.0853,1.246,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,226.08
1.25,1.2,24,0.02,0.25,24,0.2,3,37,54.05,1.919,0.071,0.059,1.05,3.58,37.41,22.93,9.68,70.27,0.0901,1.267,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,224.75
1.25,1.2,24,0.02,0.3,24,0.2,3,37,54.05,1.919,0.071,0.059,1.05,3.58,37.41,22.93,9.68,70.27,0.0901,1.267,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,224.75
1.4,1.2,24,0.02,0.2,24,0.2,2,38,52.63,1.924,0.074,0.062,1.21,3.76,39.19,22.64,9.9,73.68,0.1087,1.269,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,224.33
1.25,1.2,24,0.02,0.25,24,0.15,3,38,52.63,1.915,0.072,0.062,1.05,3.57,37.41,21.71,9.41,71.05,0.0861,1.266,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,224.28
1.25,1.2,24,0.02,0.3,24,0.15,3,38,52.63,1.915,0.072,0.062,1.05,3.57,37.41,21.71,9.41,71.05,0.0861,1.266,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,224.28
1.4,1.2,24,0.02,0.2,24,0.15,2,39,51.28,1.92,0.076,0.066,1.22,3.76,39.19,21.49,9.63,74.36,0.1044,1.265,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1700_20260409_0930.csv,APROBADO,223.74
